M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20	M_21	M_22	M_23	M_24
36	30	50	31	32	52	29	46	33	36	35	44	37	26	45	41	33	31	37	31	48	40	50	39
34	27	54	31	36	34	25	43	31	33	33	37	44	23	45	40	35	36	37	22	41	38	55	47
22	29	62	42	30	43	27	47	33	35	39	39	37	27	46	42	35	37	37	30	42	41	50	41
32	28	49	30	35	35	28	30	33	37	37	38	37	26	53	46	36	45	39	32	51	41	57	44
36	29	49	30	36	34	26	46	32	35	35	40	37	26	44	29	41	37	40	37	49	39	50	38
34	37	58	37	40	36	26	39	32	34	43	42	43	31	45	29	32	42	38	31	50	39	60	39
29	30	36	30	33	34	24	49	30	35	34	37	36	27	62	45	33	37	41	31	50	38	59	41
37	29	47	33	32	37	15	43	43	37	39	44	38	26	46	41	33	34	53	30	53	37	47	38
30	29	55	28	36	34	33	40	25	34	34	36	35	25	45	41	39	35	46	29	68	38	47	38
33	29	49	30	26	33	25	47	31	36	51	38	36	26	45	47	35	36	39	29	43	41	53	41
