MNXref	KEGG	BiGG	MetaCyc	ModelSEED	Rhea	EC
MNXR94820		2OXOADPtim|R_2OXOADPtim		rxn09803		
MNXR94822		2PGLYCt6|R_2PGLYCt6		rxn05473		
MNXR94823		2PGLYCth|R_2PGLYCth|2PGLYCtx|R_2PGLYCtx				
MNXR94824		2PGt6|R_2PGt6		rxn05474		
MNXR94825		2PGt6pp|R_2PGt6pp				
MNXR94826		2PGtex|R_2PGtex|2PGth|R_2PGth|2PGtm|R_2PGtm				
MNXR94827		2PHACTE|R_2PHACTE				
MNXR94828		2PHETOHt|R_2PHETOHt|2PHETOHtm|R_2PHETOHtm		rxn13196|rxn13197		
MNXR94829		2PLS|R_2PLS	RXN-8076	rxn10420		
MNXR94831	R03300	34DHALDD|R_34DHALDD	RXN6666-5	rxn02364		1.2.1.29;1.2.1.3;1.2.1.5
MNXR94832		34DHCINMtex|R_34DHCINMtex|34DHCINMtpp|R_34DHCINMtpp		rxn12396|rxn12785		
MNXR94833	R04880	34DHOXPEGOX|R_34DHOXPEGOX	RXN-10911	rxn03333	31147|31148|31149|31150	1.1.1.1
MNXR94834		34DHOXPEGt|R_34DHOXPEGt				
MNXR94835	R03303	34DHPACDO|R_34DHPACDO|DHPDO|R_DHPDO	1.13.11.15-RXN	rxn02366	15633|15634|15635|15636	1.13.11.15
MNXR94836		34DHPHAMT|R_34DHPHAMT				2.1.1.6
MNXR94837		34DHPHELAT1tc|R_34DHPHELAT1tc				
MNXR94838		34DHPHEt|R_34DHPHEt				
MNXR94839	R03302	34DHPLACOX_NADP|R_34DHPLACOX_NADP		rxn02365		1.2.1.5
MNXR94840		34DHXMANDACOX|R_34DHXMANDACOX|r0752|R_r0752				1.2.1.5
MNXR94841		34DHXMANDACOX_NADP|R_34DHXMANDACOX_NADP|r0753|R_r0753				1.2.1.5
MNXR94842	R03336	34HPLFM|R_34HPLFM	HYDROXYPHENYLPYRUVATE-REDUCTASE-RXN	rxn02392	23364|23365|23366|23367	1.1.1.222;1.1.1.237
MNXR94843	R02521	34HPPOR|R_34HPPOR	4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN	rxn01827	16189|16190|16191|16192	1.13.11.27
MNXR94845		34HPPt2m|R_34HPPt2m|34HPPt2p|R_34HPPt2p		rxn09802|rxn09869		
MNXR94846		34HPPte|R_34HPPte				
