M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20	M_21	M_22	M_23	M_24	M_25	M_26	M_27	M_28	M_29	M_30	M_31	M_32	M_33	M_34	M_35	M_36	M_37	M_38	M_39	M_40	M_41	M_42	M_43	M_44	M_45	M_46	M_47	M_48	M_49	M_50	M_51	M_52	M_53	M_54	M_55	M_56	M_57	M_58	M_59	M_60	M_61	M_62	M_63	M_64	M_65	M_66	M_67	M_68	M_69	M_70	M_71	M_72	M_73	M_74	M_75	M_76	M_77	M_78	M_79	M_80	M_81	M_82	M_83	M_84	M_85	M_86	M_87	M_88	M_89	M_90	M_91	M_92	M_93	M_94	M_95	M_96	M_97
55	52	59	49	56	85	60	51	55	56	46	54	59	64	55	52	52	49	49	49	59	60	57	55	66	70	65	58	43	51	64	58	42	57	83	55	61	71	58	36	58	45	60	53	51	49	40	53	69	50	52	53	47	47	46	44	64	65	54	70	71	43	69	76	65	54	47	80	58	68	49	52	39	67	60	60	57	47	54	56	52	61	81	48	36	44	63	40	35	48	45	56	54	77	54	74	57
55	48	62	49	57	83	60	50	54	55	49	55	60	66	53	47	52	51	51	51	61	60	57	55	66	78	62	58	46	48	64	45	40	48	77	51	59	70	50	37	55	44	57	54	52	48	38	52	70	52	53	53	46	39	47	46	67	68	53	61	84	40	70	63	65	57	42	72	59	70	46	54	42	67	60	55	60	44	55	56	52	62	66	48	38	41	63	39	43	47	45	56	52	77	57	71	55
55	52	63	50	58	73	61	51	48	55	46	53	58	64	53	50	51	49	48	50	60	55	57	53	62	78	62	56	43	48	61	45	42	52	77	49	63	70	57	39	54	44	58	52	51	51	48	53	58	36	54	55	42	38	48	44	67	70	53	67	78	37	70	76	65	62	48	84	53	69	46	53	46	68	60	60	59	53	52	58	53	53	78	48	36	44	64	41	43	57	44	56	52	67	54	72	56
56	52	63	50	55	71	60	51	54	55	49	56	60	65	52	47	52	43	48	51	56	59	60	55	67	70	62	58	45	48	53	60	38	49	79	52	61	74	57	38	57	44	56	54	47	46	40	52	70	54	52	52	45	39	48	44	70	66	51	61	86	39	72	75	65	60	47	79	64	71	46	50	36	67	60	60	59	54	52	56	53	64	85	48	36	44	64	41	43	57	44	55	53	76	56	72	55
50	52	61	49	52	63	67	52	59	57	48	56	50	64	51	49	52	49	49	51	56	60	58	55	66	69	62	59	45	49	60	57	35	54	77	55	63	71	52	34	55	46	40	55	47	49	50	54	69	37	52	56	46	38	54	42	69	70	53	61	84	41	70	63	66	59	47	79	64	67	50	53	45	67	60	60	61	50	54	57	52	67	85	43	30	44	64	43	40	52	45	56	52	80	57	77	59
55	59	61	52	57	56	61	50	56	56	49	57	63	70	55	49	52	49	48	52	57	59	58	55	64	79	62	59	36	52	61	57	42	54	81	56	63	71	59	43	53	46	45	53	47	47	49	53	63	54	52	52	49	38	55	45	64	68	53	70	85	35	56	76	66	59	50	79	57	71	50	54	45	67	60	62	61	50	54	58	52	66	77	45	31	44	60	43	40	58	45	60	54	77	50	71	54
55	52	64	49	56	76	60	51	54	55	49	56	48	64	53	48	52	41	47	51	59	60	58	55	63	78	61	60	43	51	59	49	39	45	77	47	63	69	57	40	53	43	40	53	51	49	34	53	70	53	44	53	44	44	46	45	69	70	53	63	87	41	70	75	65	59	45	80	57	68	46	53	46	67	60	60	60	53	52	56	53	66	81	49	36	43	55	41	40	58	45	57	52	78	54	70	54
58	49	64	47	50	79	64	53	54	57	49	54	46	60	55	49	50	47	48	46	58	51	58	55	66	69	64	59	51	47	62	57	36	54	79	52	55	68	50	41	53	43	50	55	51	49	48	54	69	52	47	53	44	38	49	42	61	61	53	69	68	41	68	73	65	52	47	79	64	71	50	52	45	67	55	60	57	54	53	54	52	62	75	46	35	42	64	42	41	48	45	55	52	80	56	72	59
54	59	67	49	53	79	60	51	54	55	49	59	57	64	58	48	52	46	51	51	59	60	57	58	65	76	64	56	51	47	63	57	45	54	81	57	60	67	57	46	55	41	58	44	47	50	47	59	69	57	53	53	46	37	54	44	67	71	54	62	88	40	69	75	66	57	45	82	65	68	48	53	46	70	59	60	59	50	52	55	47	65	68	45	36	38	63	42	41	47	44	56	53	79	52	77	56
55	59	61	50	57	71	60	51	53	54	49	53	52	64	50	48	52	40	48	47	60	53	56	55	66	77	63	59	43	47	60	57	43	54	79	54	55	68	58	41	54	46	57	49	47	52	50	52	64	51	53	53	50	39	47	46	69	70	53	60	76	46	61	76	65	56	47	79	56	69	51	49	45	68	56	60	55	54	52	57	52	44	75	46	37	42	64	43	41	46	39	55	52	79	54	70	56
58	53	62	56	55	72	60	54	54	55	48	57	61	72	58	50	50	48	48	48	58	58	59	55	66	75	65	58	42	49	60	55	41	54	72	57	64	72	50	38	55	44	60	55	51	52	49	54	71	52	52	54	46	41	46	46	68	70	53	62	77	38	66	77	66	51	48	81	57	69	52	50	44	69	60	60	57	52	53	58	53	66	76	44	36	44	64	44	41	61	44	56	54	86	50	62	57
55	59	63	50	56	68	60	50	54	56	49	57	59	67	54	47	52	47	46	54	53	59	58	56	66	72	61	59	44	47	54	55	41	54	76	52	63	71	58	41	53	46	57	44	47	48	50	52	69	54	46	53	44	39	49	46	68	68	53	62	72	41	71	76	66	54	47	82	58	69	46	52	45	67	60	61	67	54	52	52	52	66	74	46	30	42	62	43	36	49	35	55	52	75	55	78	55
58	52	66	47	60	71	58	53	55	56	49	58	55	65	50	52	53	46	50	49	58	57	58	53	65	73	64	59	42	50	54	57	43	54	69	57	55	68	57	43	54	46	59	56	47	48	47	52	69	49	54	49	46	39	53	44	65	70	50	70	66	38	64	76	65	57	47	82	58	69	48	52	45	67	60	61	57	43	53	59	52	61	81	42	35	44	64	40	41	58	46	55	52	77	53	69	54
55	53	66	52	52	75	63	51	56	56	50	56	55	60	50	46	51	48	46	48	59	58	59	58	67	78	64	62	43	47	60	55	45	53	82	52	64	69	57	48	53	48	56	49	52	48	48	59	70	47	43	54	46	48	46	46	71	68	53	64	90	39	70	77	65	49	48	68	59	71	46	49	46	68	63	60	65	52	54	59	50	49	77	45	38	44	64	44	42	47	50	58	54	74	50	74	54
56	52	67	51	58	73	60	51	54	55	50	52	60	64	51	50	52	48	46	51	56	59	57	55	66	73	63	59	42	42	56	56	39	57	75	51	63	72	50	43	54	46	58	55	51	49	38	53	66	57	49	53	44	45	51	45	69	67	53	64	78	40	69	70	65	58	48	79	61	69	46	53	41	67	63	60	66	50	54	52	52	66	75	46	36	44	64	44	39	58	49	54	53	78	54	72	52
55	52	66	56	60	76	63	51	54	55	50	59	46	66	55	50	53	47	48	51	58	64	59	54	59	75	62	59	38	50	62	48	40	50	82	55	64	70	57	41	52	48	58	50	51	48	38	55	70	49	50	55	46	46	52	46	67	71	50	71	86	40	66	77	61	57	48	79	62	69	49	53	46	68	63	60	58	56	50	46	48	60	82	46	36	43	64	42	38	48	44	56	54	82	58	79	54
58	57	64	52	59	75	62	52	55	56	47	56	50	61	50	45	51	50	50	55	59	59	59	55	66	72	65	60	46	44	67	51	39	53	70	52	62	67	57	45	55	44	57	47	43	48	38	52	70	57	55	53	44	43	48	48	68	71	47	61	79	41	67	78	61	60	48	83	58	69	50	54	39	68	57	57	65	55	52	53	51	61	67	48	36	40	61	44	35	59	50	57	53	73	52	72	52
56	52	61	51	56	59	59	51	54	56	49	58	58	67	53	50	53	48	48	52	55	60	58	55	58	78	66	59	42	47	60	57	41	57	80	51	63	70	59	40	56	45	58	50	48	48	44	59	71	53	52	53	46	38	47	45	69	70	53	55	88	35	73	76	66	56	44	79	57	71	45	54	42	65	60	60	60	53	52	56	51	63	84	48	37	44	63	42	40	47	44	56	52	81	50	71	55
