rxn00447	1.14.-.-
rxn00448	1.13.11.13
rxn00449	1.1.3.8
rxn00450	1.4.3.2
rxn00451	2.1.1.12
rxn00452	2.1.1.10
rxn00453	2.5.1.49|4.2.99.10
rxn00454	2.6.1.73
rxn00455	3.5.1.31
rxn00456	4.4.1.11
rxn00457	5.1.1.2
rxn00458	4.1.1.57
rxn00459	4.2.1.11
rxn00460	2.7.1.40
rxn00461	2.5.1.7
rxn00462	5.4.2.9
rxn00463	3.6.1.19|3.6.1.8
rxn00464	2.3.1.127
rxn00465	3.5.1.20
rxn00466	1.5.1.24
rxn00467	2.6.1.13
rxn00468	2.6.1.13|2.6.1.68
rxn00469	3.5.1.14|3.5.1.16
rxn00470	4.1.1.17
rxn00471	4.3.1.12
rxn00472	5.1.1.10|5.1.1.12|5.1.1.9
rxn00473	4.1.99.1
rxn00474	4.2.1.122|4.2.1.20
rxn00475	1.4.1.19
rxn00476	1.4.1.19
rxn00477	1.4.3.2
rxn00478	1.13.11.11|1.13.11.52
rxn00479	1.13.12.3
rxn00480	1.13.99.3
rxn00481	3.5.1.57
rxn00482	null
rxn00483	2.6.1.27
rxn00484	4.1.1.105|4.1.1.28
rxn00485	5.1.1.11
rxn00486	2.7.7.54
rxn00487	1.4.1.20
rxn00488	1.4.3.2
rxn00489	1.11.1.21|1.11.1.7|1.13.12.9
rxn00490	4.2.1.51|4.2.1.91
rxn00491	2.6.1.58
rxn00492	2.3.1.53
rxn00493	2.6.1.1|2.6.1.5|2.6.1.57|2.6.1.58|2.6.1.9
rxn00494	2.6.1.70
rxn00495	4.3.1.24|4.3.1.25|4.3.1.5
rxn00496	1.11.1.7
rxn00497	4.1.1.28|4.1.1.53
rxn00498	2.5.1.-|2.5.1.103|2.5.1.21|2.5.1.96
rxn00499	1.1.1.27
rxn00500	1.1.1.28
rxn00501	1.2.1.18|1.2.1.27
rxn00502	1.2.1.18
rxn00503	1.5.1.12
rxn00504	1.5.1.12
rxn00505	1.1.1.286|1.1.1.41
rxn00506	1.2.1.3|1.2.1.5
rxn00507	1.2.1.3|1.2.1.4|1.2.1.5
rxn00508	1.2.1.16|1.2.1.24
rxn00509	1.2.1.16|1.2.1.79
rxn00510	1.5.1.7
rxn00511	1.5.1.8
rxn00512	1.1.1.26|1.1.1.29|1.1.99.14
rxn00513	3.6.1.-|3.6.1.15|3.6.1.5
rxn00514	3.6.1.-|3.6.1.19|3.6.1.8
rxn00515	2.7.4.6
rxn00516	3.6.1.14
rxn00517	2.7.1.40
rxn00518	2.7.1.1
rxn00519	4.1.1.32
rxn00520	6.2.1.4
rxn00521	4.1.99.2
rxn00522	1.4.3.2
rxn00523	1.14.13.41
rxn00524	1.14.18.1
rxn00525	1.3.1.43|1.3.1.79
rxn00526	1.3.1.78|1.3.1.79
rxn00527	2.6.1.1|2.6.1.5|2.6.1.57|2.6.1.9
rxn00528	6.3.2.24
rxn00529	4.1.1.25|4.1.1.28
rxn00530	4.3.1.23|4.3.1.25
rxn00531	5.4.3.6
rxn00532	1.2.1.-|1.2.1.18|1.2.1.75
rxn00533	6.4.1.2
rxn00534	2.8.3.3
rxn00535	null
rxn00536	1.1.1.2|1.1.1.71
rxn00537	3.11.1.1
rxn00538	4.2.3.2
rxn00539	4.3.1.7
rxn00540	4.1.3.39
rxn00541	4.1.2.5
rxn00542	4.1.2.36
rxn00543	1.1.1.1|1.1.1.71
rxn00544	4.1.1.1
rxn00545	2.7.1.11
