#OTU ID	ZHBr.25	ZHBr.10	ZHBr.6	ZHBr.3	ZHFrei.7	ZHBa.2	ZHBa.5	ZHFrei.6	ZHFrei.8	ZHBr.1	ZHBr.2	TuFarm.1	ZHFrei.9	ZHFrei.5	ZHFrei.4	ZHFrei.2	ZHBr.7	ZHFrei.1	ZHBr.17	TuHae1.1	TuFarm.3	TuHae1.5	TuHae2.3	ZHBr.11	ZHBr.15	TuFarm.8	ZHBr.24	ZHBr.20	ZHBr.8	TuHae1.4	ZHFrei.3	ZHBa.3	ZHBr.18	ZHBr.4	TuHae2.5	ZHBr.5	ZHBr.21	TuHae2.4	ZHBr.13	TuFarm.7	ZHFrei.10	ZHBr.14	TuHae2.1	TuFarm.4	TuFarm.5	ZHBr.16	ZHBr.19	ZHBr.9	ZHBr.23	TuHae1.2	TuFarm.6	ZHBr.26	TuFarm.2	ZHBr.22	ZHBr.12	TuFarm.9	TuHae1.3
Leaf15	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Leaf386	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf187	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf357	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf28	0	0	0	8	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf119	11	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf324	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf394	0	68	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Leaf264	0	0	0	0	0	0	0	0	68	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf311	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
