Row	p_EC	sensitivity	precision	relation	genus	species
Leaf254	0.843279185253766	0.461662631154157	0.24549356223176	0.8781	0	0
Leaf257	0.249726454002188	0.185633575464084	0.268691588785047	0.9255	0	0
Leaf258	0.271441797828466	0.196125907990315	0.186923076923077	0.8832	0	0
Leaf26	0.408972308728221	0.263922518159806	0.285839160839161	0.9373	0	0
Leaf261	0.322110933423112	0.208232445520581	0.262729124236253	0.8735	0	0
Leaf262	0.217153438262772	0.171105730427764	0.237668161434978	0.97	0	0
Leaf263	0.517549027859608	0.321226795803067	0.269647696476965	0.8781	0	0
Leaf264	0.354683949162528	0.230024213075061	0.251544571932921	0.8855	0	0
Leaf265	0.34382627724939	0.250201775625504	0.273127753303965	0.8722	0	0
Leaf267	0.401733860786129	0.282485875706215	0.233022636484687	0.8739	0	0
Leaf272	0.282299469741604	0.202582728006457	0.241346153846154	0.8764	0	0
Leaf274	0.256964901944281	0.201775625504439	0.191864927091328	0.8722	0	0
Leaf278	0.199057318407541	0.151735270379338	0.265912305516266	0.8809	0	0
Leaf28	0.546502819627977	0.343825665859564	0.267924528301887	0.9246	0	0
Leaf280	0.329349381365205	0.230024213075061	0.277507302823759	0.9553	0	0
Leaf283	0.488595236091238	0.31638418079096	0.242274412855377	0.8781	0	0
Leaf285	0.459641444322868	0.290556900726392	0.280155642023346	0.8809	0	0
Leaf288	0.492214460062284	0.297013720742534	0.293460925039872	0.8736	0	0
Leaf289	0.470499116236007	0.313155770782889	0.260402684563758	0.8764	0	0
Leaf29	0.195438094436495	0.138014527845036	0.339960238568588	0.9331	0	0
Leaf291	0.608029627135763	0.388216303470541	0.264867841409692	0.8764	0	0
Leaf294	0.322110933423112	0.225988700564972	0.267686424474187	0.8781	0	0
Leaf296	0.723844794209242	0.418886198547215	0.281606077048291	0.8823	0	0
Leaf299	0.39087618887299	0.26634382566586	0.280612244897959	0.8824	0	0
Leaf3	0.575456611396347	0.344632768361582	0.288124156545209	0.8775	0	0
Leaf30	0.731083242151334	0.422114608555287	0.287047200878156	0.9252	0	0
Leaf304	0.698510226411918	0.397901533494754	0.270581778265642	0.8781	0	0
Leaf306	0.510310579917515	0.332526230831316	0.249394673123487	0.9682	0	0
Leaf307	0.608029627135763	0.371267150928168	0.273809523809524	0.8809	0	0
Leaf311	0.380018516959852	0.263922518159806	0.328643216080402	0.97	0	0
Leaf314	0.781752377745981	0.44229217110573	0.271690629647992	0.8725	0	0
Leaf32	0.593552731251578	0.380145278450363	0.265801354401806	0.9331	0	0
Leaf320	0.271441797828466	0.216303470540759	0.23758865248227	0.8736	0	0
Leaf321	0.503072131975423	0.326876513317191	0.259615384615385	0.9682	0	0
Leaf324	0.242488006060096	0.183212267958031	0.222113502935421	0.9535	0	0
Leaf325	0.387256964901944	0.263115415657789	0.277446808510638	0.8855	0	0
Leaf326	0.300395589596835	0.223567393058918	0.251589464123524	0.8938	0	0
Leaf33	1.00614426395085	0.518159806295399	0.270429654591407	0.9331	0	0
Leaf334	0.593552731251578	0.351089588377724	0.247581104154809	0.865	0	0
Leaf335	0.44878377240973	0.308313155770783	0.26254295532646	0.8781	0	0
Leaf336	0.655079538759364	0.38498789346247	0.267827063447501	0.8819	0	0
Leaf337	0.28591869371265	0.217110573042776	0.267395626242545	0.8685	0	0
Leaf339	0.470499116236007	0.297820823244552	0.240861618798956	0.9213	0	0
Leaf34	0.459641444322868	0.308313155770783	0.263630089717046	0.9252	0	0
Leaf341	0.405353084757175	0.273607748184019	0.227669576897246	0.9682	0	0
Leaf343	0.347445501220436	0.243744955609362	0.266079295154185	0.9252	0	0
Leaf344	0.564598939483208	0.358353510895884	0.344453064391001	0.9722	1	0
Leaf347	0.202676542378588	0.154963680387409	0.296754250386399	0.8736	0	0
Leaf351	0.18096119855231	0.138014527845036	0.312043795620438	0.8736	0	0
Leaf354	0.372780069017759	0.250201775625504	0.221745350500715	0.8809	0	0
Leaf357	0.940998232472014	0.506860371267151	0.254251012145749	0.9233	0	0
Leaf359	0.260584125915327	0.200161420500404	0.285714285714286	0.8144	0	0
Leaf361	0.267822573857419	0.209846650524617	0.335051546391753	0.9842	1	0
Leaf363	0.676794882585641	0.395480225988701	0.256678889470927	0.9553	0	0
Leaf369	0.70574867435401	0.411622276029056	0.280682443588332	0.8741	0	0
Leaf371	0.41982998064136	0.278450363196126	0.256887565152643	0.9682	0	0
Leaf38	0.62974497096204	0.393058918482647	0.255508919202518	0.9252	0	0
Leaf380	0.365541621075667	0.242937853107345	0.324004305705059	0.877	0	0
Leaf383	0.289537917683697	0.217917675544794	0.210772833723653	0.9682	0	0
Leaf384	0.636983418904133	0.381759483454399	0.240467717336045	0.9682	0	0
Leaf386	0.372780069017759	0.253430185633575	0.244167962674961	0.97	0	0
Leaf391	0.260584125915327	0.202582728006457	0.230910763569457	0.97	0	0
Leaf394	0.618887299048901	0.365617433414044	0.266627427898764	0.8168	0	0
Leaf395	0.365541621075667	0.242937853107345	0.242937853107345	0.865	0	0
Leaf396	0.18096119855231	0.154963680387409	0.228299643281807	0.9768	0	0
Leaf399	0.459641444322868	0.294592413236481	0.286274509803922	0.9908	1	0
Leaf400	0.293157141654743	0.194511702986279	0.291767554479419	0.8739	0	0
Leaf404	0.307634037538928	0.220338983050847	0.287066246056782	0.8168	0	0
Leaf405	0.405353084757175	0.257465698143664	0.263201320132013	0.8168	0	0
Leaf406	0.745560138035519	0.418079096045198	0.236313868613139	0.9252	0	0
Leaf407	0.626125746990994	0.368845843422115	0.254880089235917	0.9298	0	0
Leaf41	0.369160845046713	0.261501210653753	0.23546511627907	0.8398	0	0
Leaf412	0.70574867435401	0.403551251008878	0.259336099585062	0.9213	0	0
Leaf414	0.361922397104621	0.250201775625504	0.257475083056478	0.8899	0	0
Leaf415	0.86861375305109	0.473769168684423	0.247157894736842	0.8781	0	0
Leaf416	0.445164548438684	0.285714285714286	0.267776096822995	0.8899	0	0
Leaf42	0.329349381365205	0.224374495560936	0.256457564575646	0.9298	0	0
Leaf420	0.253345677973235	0.204196933010492	0.221735319894829	0.9426	0	0
Leaf427	0.246107230031142	0.200161420500404	0.218117854001759	0.9518	0	0
Leaf434	0.716606346267149	0.434221146085553	0.249767873723305	0.9131	0	0
Leaf436	0.387256964901944	0.252623083131558	0.2636899747262	0.8736	0	0
Leaf44	0.510310579917515	0.321226795803067	0.255291853752405	0.8781	0	0
Leaf443	0.459641444322868	0.297820823244552	0.308013355592654	0.9597	0	0
