Row	p_EC	sensitivity	precision	relation	genus	species
Leaf201	1.25225149398199	0.693256578947368	0.209129248325478	0.8111	0	0
Leaf202	1.5743624274051	0.808388157894737	0.187523845860359	0.97	0	0
Leaf203	1.42959346856325	0.751644736842105	0.19093377898475	0.8736	0	0
Leaf208	1.55264708357882	0.8125	0.182388776075318	0.9246	0	0
Leaf210	1.3861627809107	0.739309210526316	0.19312567132116	0.8781	0	0
Leaf216	1.47664338018685	0.770559210526316	0.19549342791571	0.8398	0	0
Leaf22	1.50559717195522	0.78125	0.200718360447919	0.9262	0	0
Leaf220	1.52007406783941	0.800986842105263	0.18623326959847	0.8739	0	0
Leaf222	1.46578570827371	0.768914473684211	0.169016630513377	0.8733	0	0
Leaf225	1.56350475549196	0.809210526315789	0.168176380105965	0.8832	0	0
Leaf226	1.56712397946301	0.823190789473684	0.196737421383648	0.9252	0	0
Leaf23	1.45492803636058	0.764802631578947	0.1923474663909	0.9298	0	0
Leaf230	1.55626630754987	0.810855263157895	0.186459909228442	0.9246	0	0
Leaf231	1.55626630754987	0.806743421052632	0.191976516634051	0.9255	0	0
Leaf233	1.55988553152092	0.806743421052632	0.167206408726777	0.8809	0	0
Leaf234	1.40425890076593	0.745065789473684	0.179833267169512	0.8685	0	0
Leaf24	1.48388182812895	0.773026315789474	0.190669371196755	0.9298	0	0
Leaf242	1.57074320343405	0.811677631578947	0.190687789799073	0.9246	0	0
Leaf244	1.42235502062116	0.757401315789474	0.196124361158433	0.8781	0	0
Leaf245	1.42235502062116	0.754934210526316	0.197759586385179	0.8764	0	0
Leaf247	1.59245854726033	0.809210526315789	0.168753215571943	0.8832	0	0
Leaf25	1.46940493224476	0.766447368421053	0.189161761721128	0.9298	0	0
Leaf254	1.40063967679488	0.745065789473684	0.178451841638763	0.8781	0	0
Leaf257	1.49112027607104	0.780427631578947	0.201315231226135	0.9255	0	0
Leaf258	1.5743624274051	0.8125	0.166948293342345	0.8832	0	0
Leaf26	1.51283561989731	0.787828947368421	0.178864824495892	0.9373	0	0
Leaf261	1.36806666105547	0.722861842105263	0.195376750388975	0.8735	0	0
Leaf262	1.60693544314452	0.829769736842105	0.192190476190476	0.97	0	0
Leaf263	1.40787812473697	0.733552631578947	0.194208578271282	0.8781	0	0
Leaf264	1.44045114047639	0.756578947368421	0.18756371049949	0.8855	0	0
Leaf265	1.63588923491289	0.842927631578947	0.169086110194655	0.8722	0	0
Leaf267	1.58522009931824	0.839638157894737	0.169798769333112	0.8739	0	0
Leaf272	1.42235502062116	0.746710526315789	0.193851409052092	0.8764	0	0
Leaf274	1.58883932328929	0.837993421052632	0.168513312386307	0.8722	0	0
Leaf278	1.56712397946301	0.811677631578947	0.175747863247863	0.8809	0	0
Leaf28	1.58522009931824	0.815789473684211	0.184833240171418	0.9246	0	0
Leaf280	1.41873579665011	0.751644736842105	0.204154567790931	0.9553	0	0
Leaf283	1.41149734870802	0.748355263157895	0.184996950599715	0.8781	0	0
Leaf285	1.50197794798418	0.791940789473684	0.19020343669761	0.8809	0	0
Leaf288	1.42959346856325	0.752467105263158	0.177394338891043	0.8736	0	0
Leaf289	1.45492803636058	0.765625	0.19054441260745	0.8764	0	0
Leaf29	1.50197794798418	0.775493421052632	0.204777415852334	0.9331	0	0
Leaf291	1.44407036444744	0.762335526315789	0.185103833865815	0.8764	0	0
Leaf294	1.46216648430267	0.763157894736842	0.195121951219512	0.8781	0	0
Leaf296	1.49112027607104	0.771381578947368	0.186703821656051	0.8823	0	0
Leaf299	1.40063967679488	0.733552631578947	0.196087052099363	0.8824	0	0
Leaf3	1.34635131722919	0.717105263157895	0.183001049317943	0.8775	0	0
Leaf30	1.58522009931824	0.831414473684211	0.19173146216575	0.9252	0	0
Leaf304	1.37892433296861	0.726973684210526	0.187129551227773	0.8781	0	0
Leaf306	1.60693544314452	0.824835526315789	0.181407126062579	0.9682	0	0
Leaf307	1.46940493224476	0.774671052631579	0.18620280687883	0.8809	0	0
Leaf311	1.57798165137615	0.815789473684211	0.194243195613863	0.97	0	0
Leaf314	1.44768958841848	0.755756578947368	0.180443746318476	0.8725	0	0
Leaf32	1.52007406783941	0.788651315789474	0.187268111696934	0.9331	0	0
Leaf320	1.37168588502651	0.725328947368421	0.191572545612511	0.8736	0	0
Leaf321	1.62503156299975	0.837171052631579	0.185023627771719	0.9682	0	0
Leaf324	1.54902785960778	0.810855263157895	0.196023856858847	0.9535	0	0
Leaf325	1.42235502062116	0.754934210526316	0.189865563598759	0.8855	0	0
Leaf326	1.40063967679488	0.75	0.199039720646006	0.8938	0	0
Leaf33	1.44768958841848	0.761513157894737	0.182427107959023	0.9331	0	0
Leaf334	1.41511657267907	0.737664473684211	0.173635307781649	0.865	0	0
Leaf335	1.36444743708442	0.730263157894737	0.190435342054471	0.8781	0	0
Leaf336	1.4332126925343	0.738486842105263	0.172393933576502	0.8819	0	0
Leaf337	1.45130881238953	0.753289473684211	0.175344563552833	0.8685	0	0
Leaf339	1.48750105209999	0.787828947368421	0.185658914728682	0.9213	0	0
Leaf34	1.57074320343405	0.808388157894737	0.188350258670243	0.9252	0	0
Leaf341	1.56350475549196	0.8125	0.187440713337128	0.9682	0	0
Leaf343	1.48750105209999	0.782072368421053	0.197507788161994	0.9252	0	0
Leaf344	1.59607777123138	0.835526315789474	0.20174741858618	0.9722	1	0
Leaf347	1.40425890076593	0.738486842105263	0.199024822695035	0.8736	0	0
Leaf351	1.32825519737396	0.704769736842105	0.20536784088186	0.8736	0	0
Leaf354	1.52007406783941	0.796052631578947	0.169319573202729	0.8809	0	0
Leaf357	1.47664338018685	0.774671052631579	0.170281995661605	0.9233	0	0
Leaf359	1.23415537412676	0.674342105263158	0.216988621328394	0.8144	0	0
Leaf361	1.68293914653649	0.870065789473684	0.1928193912885	0.9842	1	0
Leaf363	1.52007406783941	0.770559210526316	0.186802232854864	0.9553	0	0
Leaf369	1.56350475549196	0.813322368421053	0.175541356052538	0.8741	0	0
Leaf371	1.56712397946301	0.816611842105263	0.185503456005978	0.9682	0	0
Leaf38	1.58522009931824	0.818256578947368	0.185013015991075	0.9252	0	0
Leaf380	1.54540863563673	0.805098684210526	0.184682135446142	0.877	0	0
Leaf383	1.55626630754987	0.814144736842105	0.189618846964183	0.9682	0	0
Leaf384	1.55626630754987	0.810032894736842	0.181266102318734	0.9682	0	0
Leaf386	1.63588923491289	0.837171052631579	0.174584119362031	0.97	0	0
Leaf391	1.61779311505765	0.828947368421053	0.172987815342372	0.97	0	0
Leaf394	1.32825519737396	0.710526315789474	0.194200944032367	0.8168	0	0
Leaf395	1.43683191650534	0.739309210526316	0.181213465027212	0.865	0	0
Leaf396	1.6684622506523	0.845394736842105	0.172223152956944	0.9768	0	0
Leaf399	1.67931992256544	0.855263157894737	0.20680055677073	0.9908	1	0
Leaf400	1.51645484386836	0.796052631578947	0.180799402316025	0.8739	0	0
