M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20	M_21	M_22	M_23	M_24	M_25	M_26	M_27	M_28	M_29	M_30	M_31	M_32	M_33	M_34	M_35	M_36	M_37	M_38	M_39	M_40	M_41	M_42	M_43	M_44	M_45	M_46	M_47	M_48	M_49	M_50	M_51	M_52	M_53	M_54	M_55	M_56	M_57	M_58	M_59	M_60	M_61	M_62	M_63	M_64	M_65	M_66	M_67	M_68	M_69	M_70	M_71	M_72	M_73	M_74	M_75	M_76	M_77	M_78	M_79	M_80	M_81	M_82	M_83	M_84	M_85	M_86	M_87
62	67	72	70	72	72	77	65	65	68	70	50	71	67	67	75	71	58	60	51	67	81	76	69	96	79	62	53	64	69	60	71	77	78	60	65	72	69	50	62	62	61	62	68	63	65	53	60	58	60	93	85	61	72	76	51	71	80	84	76	59	89	61	66	48	72	71	64	57	56	64	71	57	57	73	85	48	57	60	53	65	60	73	64	66	85	60
62	67	71	65	69	68	77	65	72	67	70	50	70	67	67	75	71	58	56	48	61	77	70	68	95	80	62	53	64	69	60	64	76	92	58	67	69	67	50	56	64	56	62	70	69	65	53	73	58	60	92	88	69	70	76	49	67	80	84	75	60	89	59	71	50	66	71	64	57	57	64	69	57	57	72	88	48	58	60	49	66	59	76	63	63	85	57
62	67	79	56	69	72	78	65	65	67	70	50	69	67	60	74	71	58	57	51	67	77	75	68	95	79	64	54	64	69	60	68	77	92	58	66	69	69	49	62	62	55	62	68	62	65	55	71	59	60	90	76	61	72	76	51	64	80	84	75	62	89	61	71	48	66	66	66	57	56	64	67	57	56	72	80	46	57	60	52	65	54	74	64	66	83	61
62	67	72	59	73	72	70	65	65	67	70	50	71	68	63	74	70	58	60	50	67	77	76	69	95	81	62	53	64	68	60	64	77	92	59	67	69	70	50	62	62	63	61	68	69	65	53	71	58	60	93	85	61	72	76	51	65	76	82	75	59	89	59	66	48	64	77	64	57	47	63	67	57	56	72	80	46	58	60	49	64	60	73	64	71	85	61
69	67	72	67	73	73	77	65	65	67	70	50	69	67	69	74	70	61	60	51	67	77	75	69	95	78	64	54	64	69	59	64	77	97	56	66	68	69	51	56	62	61	62	68	62	68	55	59	62	60	92	85	61	72	76	51	71	80	84	76	60	87	61	75	48	66	71	66	57	57	64	67	57	59	72	85	45	58	60	49	66	60	76	64	66	85	57
64	67	72	56	69	72	78	65	65	67	70	50	70	67	67	74	71	57	57	49	67	81	76	68	95	79	64	52	64	69	60	71	77	92	58	68	72	63	49	55	62	55	62	68	62	65	53	73	58	60	93	85	65	72	73	51	69	76	82	75	60	87	59	72	48	66	71	66	57	56	63	71	57	56	75	80	48	58	64	49	64	60	73	64	66	83	60
62	67	72	56	72	73	77	65	70	65	70	50	70	67	66	74	70	58	57	48	67	77	75	69	95	78	64	51	63	69	60	71	70	92	56	67	69	69	50	62	62	61	53	68	62	65	53	61	58	60	87	85	61	70	76	52	68	80	82	75	60	89	60	71	48	66	71	64	57	57	63	71	57	59	74	80	48	58	61	49	65	54	73	65	66	85	61
64	67	80	67	74	71	78	65	65	67	70	50	71	67	66	74	71	57	57	50	67	81	76	69	95	79	62	51	64	69	60	70	76	90	58	67	69	70	50	62	60	63	60	74	63	68	53	60	58	61	93	85	63	72	76	51	71	80	84	75	62	87	60	66	53	72	71	66	57	57	63	67	57	58	74	84	48	57	61	49	65	60	74	60	66	85	57
64	71	72	67	69	68	70	65	70	60	70	50	71	67	69	74	71	57	57	51	67	81	75	83	95	76	64	51	64	69	60	64	77	92	58	78	69	70	50	56	62	55	62	68	69	65	53	73	58	60	92	85	61	74	76	52	66	80	82	75	62	89	60	71	48	72	71	66	59	56	63	71	57	57	75	80	48	57	60	49	65	54	71	64	66	85	57
64	67	79	67	74	73	77	65	71	61	70	50	68	67	69	74	71	57	57	51	67	81	76	68	95	79	62	54	64	69	61	64	77	92	58	66	69	70	50	62	62	61	60	68	69	65	55	59	58	60	93	85	65	74	76	51	67	80	82	75	60	87	61	64	50	66	77	66	57	57	63	67	57	59	75	80	48	58	61	49	65	60	74	64	71	85	57
