M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20	M_21	M_22	M_23	M_24	M_25	M_26	M_27	M_28	M_29	M_30	M_31	M_32	M_33	M_34	M_35	M_36	M_37	M_38	M_39	M_40	M_41	M_42	M_43	M_44	M_45	M_46	M_47	M_48	M_49	M_50	M_51	M_52	M_53	M_54	M_55	M_56	M_57	M_58	M_59	M_60	M_61	M_62	M_63	M_64	M_65	M_66	M_67	M_68	M_69	M_70	M_71	M_72	M_73	M_74	M_75	M_76	M_77	M_78	M_79	M_80	M_81	M_82	M_83	M_84	M_85	M_86	M_87	M_88	M_89	M_90	M_91	M_92	M_93	M_94	M_95	M_96	M_97
64	69	73	67	72	74	80	67	67	68	71	75	51	72	68	68	75	58	51	50	67	69	78	76	70	96	81	68	55	66	68	60	65	75	91	57	65	70	72	51	58	57	63	59	63	56	63	69	69	66	59	68	59	76	60	61	93	85	66	74	73	52	72	77	83	76	63	90	61	73	49	68	58	73	65	59	66	69	60	68	60	74	86	41	61	53	63	51	55	67	60	65	68	86	51	65	58
65	68	82	67	73	75	73	67	67	68	72	77	51	70	68	70	77	58	50	52	65	69	81	77	67	96	81	66	57	66	70	61	65	80	91	57	66	70	70	51	63	59	63	58	63	59	62	69	62	59	55	68	59	76	61	61	88	85	66	75	77	52	72	77	84	75	63	89	56	73	49	68	56	73	68	59	66	73	60	68	60	73	86	51	61	53	62	51	52	67	56	65	69	82	51	65	59
66	69	81	57	74	75	75	67	67	68	72	69	51	70	68	68	75	59	51	50	67	68	81	77	67	96	81	67	55	66	70	62	70	80	91	58	67	70	71	51	63	57	63	58	63	61	63	69	62	66	56	65	59	76	61	61	93	85	62	74	71	52	72	81	83	75	61	90	60	73	48	68	55	73	68	58	66	69	60	68	61	74	81	49	61	52	65	51	55	68	56	65	68	84	51	65	60
65	68	81	64	74	73	80	67	67	70	72	78	51	71	68	68	77	58	51	52	65	68	81	77	67	96	81	66	55	66	68	62	65	80	93	60	67	69	71	51	58	57	63	58	63	63	61	69	69	66	55	68	59	63	60	61	91	85	63	74	77	52	68	81	83	75	63	90	61	71	51	68	57	73	65	58	66	69	60	68	61	75	81	51	59	52	61	51	51	67	56	65	68	84	51	65	59
65	69	81	68	70	72	80	67	67	68	72	78	51	74	68	70	77	62	51	50	67	68	78	73	69	96	81	66	55	65	68	61	65	80	91	59	66	70	72	50	68	57	63	58	64	56	63	69	69	59	55	68	59	76	60	61	91	89	66	75	77	52	72	81	84	75	63	89	61	73	49	68	56	66	68	59	66	69	60	68	60	74	85	51	61	53	64	51	51	67	62	65	68	83	51	64	63
64	67	82	57	70	73	80	67	67	68	71	72	51	71	68	63	78	59	51	52	64	68	78	77	70	96	81	67	52	64	70	62	65	80	93	58	67	70	72	50	63	54	63	58	63	63	61	69	69	75	56	68	59	62	60	61	93	85	68	74	77	52	72	77	83	76	63	89	60	68	49	74	56	78	68	59	66	70	60	68	62	74	81	48	61	52	63	54	51	67	56	65	68	84	51	64	59
65	71	81	68	70	74	80	67	72	68	71	77	51	70	68	70	77	62	51	52	68	68	73	77	70	98	80	66	55	55	70	62	65	75	87	60	67	70	72	51	57	59	63	59	63	55	59	69	62	66	55	68	58	76	60	61	93	85	66	74	77	52	72	81	83	78	63	90	61	71	51	70	56	73	68	59	66	69	60	68	59	74	81	48	61	52	61	51	55	67	60	65	68	86	50	65	59
65	69	73	68	73	73	80	67	67	68	72	71	51	69	68	70	75	58	52	50	67	65	81	76	69	96	80	66	57	66	68	61	65	77	90	57	65	72	70	51	63	57	63	58	61	62	61	69	69	68	55	70	56	59	60	62	87	85	63	74	71	52	68	81	83	75	57	90	61	66	51	68	56	73	65	59	66	69	60	68	60	74	86	51	61	53	62	51	55	67	56	65	68	86	59	65	60
64	67	81	64	74	72	80	67	67	68	72	78	51	72	69	61	75	59	50	52	65	68	78	76	70	92	81	66	55	64	70	61	65	80	93	58	65	70	72	51	58	57	63	58	63	59	61	69	62	63	57	73	59	75	60	61	91	85	63	74	77	52	72	81	84	74	61	90	61	73	49	68	56	73	68	59	66	73	60	68	59	73	81	50	61	54	62	51	55	67	62	65	66	86	51	64	59
64	69	73	68	72	73	80	67	67	68	72	75	53	70	68	68	77	58	50	50	67	68	81	77	68	96	81	66	54	66	70	62	65	80	93	60	66	71	70	51	63	57	63	59	64	56	62	69	70	65	56	68	59	75	61	61	93	85	66	75	77	49	67	77	83	76	61	90	63	71	49	68	56	73	65	59	66	69	60	68	61	74	81	48	61	49	62	51	55	65	56	65	68	84	52	65	59
64	68	73	57	70	73	80	67	67	68	72	78	51	72	64	68	75	59	51	53	67	68	81	76	69	96	81	68	54	69	68	62	65	80	78	58	67	70	72	51	63	54	63	58	64	61	62	69	62	68	55	67	59	62	60	61	93	85	66	74	77	52	68	81	83	76	61	90	61	73	49	70	56	73	65	59	66	73	60	68	61	74	85	48	59	52	62	51	55	67	62	65	68	84	49	65	59
64	67	73	57	74	74	73	67	67	68	72	77	51	70	68	68	75	61	51	52	67	69	78	77	67	96	81	66	57	66	68	61	68	78	99	60	68	74	72	51	63	57	63	59	63	63	62	69	62	66	56	65	59	63	60	61	93	89	66	74	77	52	71	81	83	75	63	90	61	73	49	68	56	73	68	59	66	69	60	67	60	74	81	41	61	52	62	51	55	67	62	65	68	86	52	65	60
63	72	73	57	74	74	80	67	72	61	72	76	51	72	69	70	75	58	50	55	67	69	81	77	69	96	81	66	57	66	70	61	65	80	93	57	66	70	70	51	58	57	63	58	64	63	62	69	62	66	55	68	59	63	60	61	87	85	66	71	71	52	72	81	84	76	61	90	60	73	49	74	56	78	65	59	66	78	60	68	60	73	81	46	61	52	62	51	55	64	62	65	61	86	52	64	59
64	69	78	67	70	74	80	67	67	68	72	69	51	72	68	68	78	58	50	51	67	68	81	77	70	96	81	66	55	66	70	61	65	75	93	59	67	72	72	51	63	60	63	58	63	55	63	69	62	66	55	73	59	63	61	61	93	85	63	71	71	52	65	81	83	79	61	90	60	71	51	68	56	73	66	59	66	73	60	68	60	75	81	51	61	52	63	51	49	65	61	65	69	86	51	65	59
64	68	73	68	73	73	80	67	72	68	72	72	51	72	68	68	77	58	51	51	65	69	81	75	70	96	81	67	54	66	68	61	65	73	93	58	67	70	70	51	63	57	63	58	63	63	62	69	69	66	56	68	59	76	60	61	89	85	63	75	77	52	66	81	83	75	62	90	61	68	49	72	56	73	68	59	66	69	60	68	61	73	81	48	59	53	62	51	55	67	62	65	68	86	59	65	60
65	69	81	68	73	73	80	66	67	68	71	75	51	72	68	68	75	61	52	52	67	63	81	77	70	96	81	67	54	66	70	61	65	80	76	59	65	70	71	51	63	59	63	67	63	63	62	69	59	66	55	68	59	76	60	62	93	85	66	74	77	52	72	77	83	76	61	90	60	66	49	68	56	73	68	59	66	69	60	68	61	73	80	51	61	52	63	51	55	68	62	65	68	84	49	65	59
66	68	81	57	74	72	80	67	67	67	71	75	51	72	69	63	75	58	51	53	65	69	81	77	70	96	81	66	54	64	70	62	68	72	99	60	67	70	70	55	63	57	63	58	63	63	63	69	62	68	55	67	59	62	60	61	91	85	63	75	77	52	66	81	83	76	63	90	61	71	49	68	56	73	65	59	59	71	60	68	60	75	81	50	61	50	61	55	51	67	60	65	68	86	52	64	63
65	69	81	68	71	73	80	66	72	68	72	70	51	70	68	69	88	58	51	55	66	69	78	77	69	96	81	66	55	66	68	61	68	80	93	57	65	72	72	51	58	57	63	58	63	55	63	69	69	68	56	68	58	63	60	59	93	85	63	74	77	52	72	81	83	72	63	89	61	72	49	68	56	73	68	58	66	69	60	68	59	74	85	48	61	52	65	50	51	67	62	65	68	89	52	65	59
64	67	81	64	70	72	80	67	67	68	72	78	51	74	68	68	78	61	52	55	67	69	81	77	72	98	81	66	55	66	70	62	65	80	93	59	67	72	70	50	63	57	63	59	63	55	62	69	62	66	55	73	59	76	60	65	93	89	63	74	77	52	72	77	84	73	63	89	63	73	51	68	56	73	68	58	66	69	60	68	59	74	81	48	61	49	61	51	55	66	62	65	68	86	51	65	59
64	68	73	57	73	74	75	67	67	66	71	69	51	69	68	59	75	58	52	52	67	68	81	76	70	98	81	74	57	66	73	61	68	80	93	59	65	70	70	51	63	57	63	61	64	63	61	69	69	64	55	74	59	63	61	62	93	85	63	74	71	52	72	81	83	76	63	89	60	66	49	68	56	76	65	59	66	73	60	68	60	74	86	47	61	52	61	51	55	68	61	65	72	84	51	65	59
63	69	73	61	70	73	75	67	72	68	71	72	51	70	69	68	75	62	51	50	63	68	78	77	69	96	81	68	54	66	70	61	68	80	93	60	67	70	70	51	63	57	64	58	63	55	61	69	69	68	55	67	59	76	60	61	87	85	63	74	77	52	72	81	84	76	61	90	60	73	49	70	56	73	68	59	66	69	60	68	60	73	86	51	59	52	63	51	51	67	56	65	68	84	50	59	59
65	68	82	68	74	73	80	67	72	68	72	69	51	71	64	63	77	62	51	52	67	63	78	77	68	96	81	67	56	67	70	61	65	80	91	60	66	70	72	51	63	57	63	59	63	55	61	69	69	66	55	68	59	76	61	61	93	85	63	74	77	52	72	77	83	75	61	89	59	73	48	74	56	73	68	49	66	73	60	68	60	74	81	48	61	49	64	51	55	67	62	65	69	86	50	65	59
