M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20	M_21	M_22	M_23	M_24	M_25	M_26	M_27	M_28	M_29	M_30	M_31	M_32	M_33	M_34	M_35	M_36	M_37	M_38	M_39	M_40	M_41	M_42	M_43	M_44	M_45	M_46	M_47	M_48	M_49	M_50	M_51	M_52	M_53	M_54	M_55	M_56	M_57	M_58	M_59	M_60	M_61	M_62	M_63	M_64	M_65	M_66	M_67	M_68	M_69	M_70	M_71	M_72	M_73	M_74	M_75	M_76	M_77	M_78	M_79	M_80	M_81	M_82	M_83	M_84	M_85	M_86	M_87	M_88	M_89	M_90	M_91	M_92	M_93	M_94	M_95	M_96	M_97	M_98	M_99	M_100	M_101	M_102	M_103	M_104	M_105
78	68	55	73	57	67	72	64	91	86	81	80	66	72	81	82	91	87	64	66	68	63	58	56	71	69	61	75	74	57	74	63	75	52	78	69	61	72	70	58	87	84	89	70	71	67	67	72	59	66	71	71	76	76	73	66	72	71	74	79	65	80	63	68	67	63	72	81	66	63	77	68	71	59	65	72	68	71	80	53	65	60	62	74	64	55	62	69	87	80	76	76	68	62	105	118	95	77	68	74	86	56	76	79	65
73	68	56	72	54	67	67	64	91	86	81	78	66	73	86	82	89	87	67	66	68	61	58	56	69	69	60	73	66	57	74	69	70	63	83	69	57	75	70	57	87	84	89	70	75	67	67	72	59	66	71	71	76	76	73	66	72	71	74	79	65	81	64	68	67	63	72	81	66	63	76	68	71	61	65	72	68	71	79	51	65	60	61	74	66	54	62	69	87	80	76	76	73	61	103	116	95	77	67	74	82	56	73	79	65
80	70	55	72	56	67	67	64	91	84	81	80	66	73	86	79	89	87	64	67	68	64	58	63	69	69	57	71	74	55	74	63	68	63	83	67	60	72	70	55	89	84	89	70	71	67	67	72	59	66	71	75	76	72	72	66	70	71	74	79	65	80	62	69	67	63	72	81	66	66	72	68	71	57	65	72	68	71	79	48	65	60	61	74	66	54	65	64	85	80	76	76	74	61	105	116	96	77	68	74	82	56	72	79	65
80	70	55	73	54	62	67	64	91	84	81	68	66	73	86	79	90	87	64	67	68	63	58	63	66	69	61	73	74	56	74	63	69	63	83	69	57	72	70	55	87	84	89	70	71	66	67	72	59	70	71	75	76	76	72	66	72	71	74	78	63	80	63	68	65	63	71	78	66	66	76	68	71	57	65	71	68	68	75	53	65	51	61	74	65	55	64	69	85	75	76	77	73	61	105	116	95	77	68	73	82	56	73	79	65
78	70	55	72	56	62	66	64	91	86	81	80	67	72	86	75	91	87	64	67	68	61	58	65	69	69	61	72	74	57	74	63	68	63	83	70	59	72	70	56	87	84	89	70	70	67	67	72	59	70	71	75	76	76	72	66	72	71	74	79	65	77	63	69	67	63	72	81	66	63	76	64	71	57	63	73	68	71	79	56	65	60	61	74	66	54	65	69	85	80	76	77	73	61	105	116	95	77	68	74	82	56	73	79	65
80	70	55	71	56	67	72	64	91	84	76	75	66	73	86	80	89	87	64	66	68	62	58	63	70	69	60	70	74	57	75	63	68	63	83	69	57	72	70	57	85	84	89	70	71	66	67	71	56	65	71	71	77	76	72	66	72	71	74	78	65	80	63	68	63	63	72	81	66	66	79	68	71	57	62	73	68	71	78	55	65	60	62	74	65	53	61	69	85	78	76	76	73	62	103	116	95	77	68	74	82	56	73	79	65
78	71	53	71	55	67	67	64	91	86	81	80	67	72	86	82	91	87	62	67	68	62	58	56	71	69	52	73	74	55	75	61	72	63	83	67	60	71	70	56	87	84	89	70	69	67	67	72	59	70	71	71	76	72	69	66	72	71	74	79	65	80	63	68	66	61	71	81	66	63	77	68	71	57	63	73	68	71	78	53	65	60	62	74	66	53	65	71	87	80	76	76	73	61	103	116	95	77	67	73	86	56	72	79	65
78	70	55	60	55	62	69	64	91	84	81	78	64	73	84	82	91	87	67	66	68	62	58	56	70	69	60	70	74	50	74	63	69	63	83	67	58	73	70	57	87	84	89	70	70	67	67	72	59	70	71	71	76	72	72	66	72	71	74	79	65	79	60	68	67	63	71	81	66	66	75	68	71	57	63	71	68	71	79	53	65	62	61	74	64	55	61	69	85	80	76	76	73	61	105	119	95	77	68	74	86	56	72	79	65
78	70	55	72	55	67	72	63	91	84	81	78	66	73	86	82	91	87	67	66	68	65	58	65	69	69	60	73	74	55	74	63	69	63	84	69	61	72	70	57	87	84	89	70	70	67	67	72	59	70	71	71	76	76	73	66	72	71	74	79	65	76	63	68	67	63	71	81	66	66	77	68	71	61	63	72	68	71	79	56	65	60	61	74	66	54	62	64	85	80	76	75	73	61	105	116	95	77	68	74	86	56	76	79	65
78	68	55	71	56	67	72	64	91	86	81	80	66	73	86	79	90	87	67	66	68	61	58	63	71	69	61	71	76	57	75	63	69	63	83	67	61	72	70	56	87	84	89	70	71	67	67	72	59	70	71	75	76	72	72	66	67	72	74	79	65	80	63	68	67	58	72	76	66	66	77	68	71	57	65	72	68	71	79	53	65	60	62	74	65	55	65	69	85	80	76	76	74	62	105	116	95	77	68	74	86	56	72	79	65
78	68	55	73	56	64	72	64	91	84	76	80	68	73	86	82	91	87	59	66	68	61	58	63	70	69	60	73	74	57	74	67	68	63	83	69	58	72	70	55	87	84	89	70	68	67	67	71	59	63	71	71	76	76	72	66	72	71	74	78	65	77	63	68	62	61	71	81	66	63	75	68	71	57	65	71	68	68	79	56	65	59	61	74	64	51	65	69	85	80	76	76	68	61	103	116	96	77	68	73	86	56	74	79	65
