M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20	M_21	M_22	M_23	M_24
57	77	64	85	68	77	66	64	61	68	74	69	73	68	51	60	64	56	66	63	62	62	52	68
63	79	65	81	63	78	70	68	58	67	80	64	73	72	52	55	63	58	66	65	66	62	55	63
57	77	64	85	63	77	70	68	61	67	72	66	73	68	52	55	70	63	68	68	64	72	52	63
57	77	71	85	68	82	70	68	71	62	74	66	73	73	53	60	64	63	68	60	64	62	52	63
57	77	65	88	67	77	73	64	51	67	74	66	73	73	52	60	63	64	63	63	67	62	55	63
57	78	65	85	68	77	70	64	61	70	67	69	73	72	52	59	52	64	63	64	63	71	52	63
60	75	64	85	69	77	70	60	61	67	76	66	73	72	52	60	64	56	68	65	64	62	52	63
67	75	69	89	62	80	88	68	61	67	74	70	82	70	52	59	64	53	66	62	66	72	51	63
60	77	61	89	68	77	66	64	61	67	74	76	76	72	52	59	63	53	66	63	63	62	53	63
57	79	64	85	60	82	66	68	66	67	75	72	73	69	52	59	57	56	66	64	63	58	52	63
61	78	60	88	67	77	70	61	61	67	74	66	73	70	49	59	64	63	67	64	64	62	59	63
57	77	64	88	67	77	70	68	61	74	74	67	73	70	51	59	52	63	66	64	63	62	54	63
61	77	65	88	67	77	73	60	66	67	75	66	73	70	53	63	69	64	73	56	66	62	57	67
